timestamp,tweet_text,username,all_hashtags,followers_count
2020-07-06 17:17:07,"From social distancing to health checks, the list of concerns is seemingly endless as school districts draft their plans, many of which are still in the development stages. Those concerns are only intensifying as COVID-19 cases begin to skyrocket.  https://t.co/ezPIJkhBda",CSBA_Now,[],6976
2020-07-06 17:17:05,"Herd immunity to Covid-19 may be 'unachievable', large-scale study indicates  https://t.co/OBbs7pHero",RobertPaul1,[],764
2020-07-06 17:17:03,"The Broadway star was originally born in Hamilton, Ontario  https://t.co/z58YizlSBY",HelloCanada,[],59509
2020-07-06 17:17:02,"COVID-19, the infectious disease caused by the novel coronavirus, is impacting mental health. Here are some tips for monitoring your mental health. https://t.co/xZQgDWFgHs https://t.co/enNaimqv7z",MSUExtension,[],4711
2020-07-06 17:17:01,"With protests cropping up in Lebanon, Iraq, India, Peru, and the US, the prospect of social and political unrest appears to be spreading along with the coronavirus, warn @Pfinefine, @SusanReichle, @kristin_lord. https://t.co/8ZCf5Cu5l3",BrookingsGlobal,[],48737
2020-07-06 17:16:57,I’d hoped that a forced mutation via CRISPR could increase antibody carriers to herd immunity. Guess not. https://t.co/UhdyAKAQzL,djnorto,[],147
2020-07-06 17:16:57,‘They have put us back in lockdown’ - town traders and shoppers protest against road closures https://t.co/QZmy4d2cDJ,MartinHumbersto,[],390
2020-07-06 17:16:54,"@realDonaldTrump  Trump is the guy who failed to take the coronavirus seriously and failed to take prompt and effective action. As a result, we have the most covid-19 cases and deaths in the world, and the countries who did take it seriously won't let us in.",GeorgiaPasteur,[],0
2020-07-06 17:16:49,"Prevalence of SARS-CoV-2 in Spain (ENE-COVID): a nationwide, population-based seroepidemiological study https://t.co/OUEDbmqcRk #COVID19 #COVID_19 #coronavirus #prevalencia #prevalence #health #salud #españa #Spain #science #ciencia #medicina https://t.co/fPhMNSRvSY",eraser,"[u'COVID19', u'COVID_19', u'coronavirus', u'prevalencia', u'prevalence', u'health', u'salud', u'espa\xf1a', u'Spain', u'science', u'ciencia', u'medicina']",25423
2020-07-06 17:16:47,Are the safety precautions being adhered to at various companies? #coronavirus #JohnMahama2020 #Bawumia #4More4Nana   https://t.co/OvjidSbJhk,thevaultzmag,"[u'coronavirus', u'JohnMahama2020', u'Bawumia', u'4More4Nana']",2182
2020-07-06 17:16:47,Coronavirus: India Overtakes Russia In Covid-19 Cases - The Lighthouse Christian Forum https://t.co/7K7JPIdy1r,LighthouseForum,[],238
2020-07-06 17:16:46,"Dr Tom Jefferson called for investigation into the presence of SARS-CoV-2 in sewage, as traces have been found that pre-date China's first COVID-19 case. The coronavirus may not have originated in China, says Oxford professor  https://t.co/kAUtuGBixf",PaudelLakshi,[],58
2020-07-06 17:16:28,Have to be around other people? WEAR A MASK   New research suggests even mild cases can have serious and long lasting repercussions   https://t.co/pszwBvVELx,KaiWulf,[],2158
2020-07-06 17:16:28,Regeneron COVID-19 treatment enters final stage trials https://t.co/prD1kNFUTz,RichardGEarl,[],12431
2020-07-06 17:16:27,Coronavirus - Namibia: COVID-19 Surveillance and Contact Tracing for Namibia @WHO @MoetiTshidi @WHOAFRO @DrTedros #Africa #Namibia #COVID19 #Coronavirus #Health https://t.co/5OBnqLHUC8,APO_source,"[u'Africa', u'Namibia', u'COVID19', u'Coronavirus', u'Health']",10616
2020-07-06 17:16:27,"#Delhi #India recorded 425 deaths #coronavirus linked deaths in the previous 24 hours. Health Ministry data showed Monday morning. Only one country recorded more - #Brazil with 602.Overall #India has reported 19,693 #Covid_19 related deaths. #indianmedia https://t.co/8dD6dZvsHT",GHaZ_NAwE77,"[u'Delhi', u'India', u'coronavirus', u'Brazil', u'India', u'Covid_19', u'indianmedia']",3845
2020-07-06 17:16:24,Grateful for this: https://t.co/i0BqwerSxs,cplteenroom,[],403
2020-07-06 17:16:16,"Boris Johnson now appears to be blaming care home owners for deaths from coronavirus  His Gov’t allowed 25,000 patients to be discharged into care homes without testing them for COVID-19 first👇  Don’t let this cretin rewrite history https://t.co/eEGDnshSKo",PeterStefanovi2,[],135870
2020-07-06 17:16:04,California counties are out of control &amp; it is getting worse with COVID-19.  Many Californians are expected to die of COVID-19 in the coming weeks.  Health experts understand this to be truth.  Watch video on pinned tweet to understand what Heerak means.  https://t.co/WuMVzxObcT,Heerak4Congress,[],103
